"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 28 15:42:26 IST 2023","Sun May 28 15:42:26 IST 2023","397","","Topic20_Suite","","","","Topic20_TestCase-PUT_API_Method2",""
"passed","Sun May 28 15:42:16 IST 2023","Sun May 28 15:42:21 IST 2023","5545","","Topic14_Suite","","","","Topic14_Testcase",""
"passed","Sun May 28 15:42:26 IST 2023","Sun May 28 15:42:26 IST 2023","373","","Topic20_Suite","","","","Topic20_TestCase-PUTAPI_Method1",""
"passed","Sun May 28 15:42:27 IST 2023","Sun May 28 15:42:27 IST 2023","406","","Topic20_Suite","","","","Topic20_TestCase-POST_API_UsingExternalPayloadDataFile",""
"broken","Sun May 28 15:41:25 IST 2023","Sun May 28 15:41:25 IST 2023","0","","cypress/e2e/Topic32.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/Topic32.cy.js",""
"passed","Sun May 28 15:41:34 IST 2023","Sun May 28 15:41:35 IST 2023","412","","Topic21_Suite","","","","Topic21-Delete API",""
"passed","Sun May 28 15:42:06 IST 2023","Sun May 28 15:42:07 IST 2023","637","","Topic02_TestSuite","","","","cy.getCookies() - get browser cookies",""
"passed","Sun May 28 15:42:06 IST 2023","Sun May 28 15:42:10 IST 2023","4001","","Topic07_Suite","","","","Topic07_TestCase",""
"passed","Sun May 28 15:42:05 IST 2023","Sun May 28 15:42:06 IST 2023","753","","Topic02_TestSuite","","","","cy.getCookie() - get a browser cookie",""
"broken","Sun May 28 15:41:37 IST 2023","Sun May 28 15:41:37 IST 2023","0","","cypress/e2e/TS topic03.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/TS topic03.cy.js",""
"failed","Sun May 28 15:41:16 IST 2023","Sun May 28 15:41:17 IST 2023","278","","Topic06_Suite","","","","Topic06_TestCase",""
"failed","Sun May 28 15:41:29 IST 2023","Sun May 28 15:41:30 IST 2023","689","","Topic23_TestSuite","","","","BlazeDemo_ClientSide_UI_PerformanceTesting",""
"failed","Sun May 28 15:41:20 IST 2023","Sun May 28 15:41:21 IST 2023","261","","Topic09-Suite","","","","Topic09-TestCase",""
"broken","Sun May 28 15:41:12 IST 2023","Sun May 28 15:41:12 IST 2023","0","","cypress/e2e/Topic12.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/Topic12.cy.js",""
"failed","Sun May 28 15:41:08 IST 2023","Sun May 28 15:41:17 IST 2023","8153","","Topic03_TestSuite","","","","Topic03_TestCase",""
"passed","Sun May 28 15:41:50 IST 2023","Sun May 28 15:42:58 IST 2023","68223","","Topic17_Suite","","","","Topic17_TestCase",""
"passed","Sun May 28 15:42:37 IST 2023","Sun May 28 15:42:38 IST 2023","1175","","Topic08-Suite","","","","Topic08-TestCase_Method2",""
"broken","Sun May 28 15:42:35 IST 2023","Sun May 28 15:42:35 IST 2023","0","","cypress/e2e/Topic18_19.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/Topic18_19.cy.js",""
"passed","Sun May 28 15:41:34 IST 2023","Sun May 28 15:41:34 IST 2023","409","","Topic21_Suite","","","","Topic21-GET API",""
"passed","Sun May 28 15:42:25 IST 2023","Sun May 28 15:42:25 IST 2023","259","","Topic20_Suite","","","","Topic20_TestCase-GET API",""
"passed","Sun May 28 15:42:08 IST 2023","Sun May 28 15:42:08 IST 2023","569","","Topic02_TestSuite","","","","cy.clearCookies() - clear browser cookies",""
"failed","Sun May 28 15:41:24 IST 2023","Sun May 28 15:41:24 IST 2023","293","","","","","","An uncaught error was detected outside of a test",""
"passed","Sun May 28 15:42:26 IST 2023","Sun May 28 15:42:27 IST 2023","480","","Topic20_Suite","","","","Topic20_TestCase-DELETE API",""
"passed","Sun May 28 15:41:14 IST 2023","Sun May 28 15:41:20 IST 2023","6093","","Topic05_Suite","","","","Topic05_TestCase",""
"passed","Sun May 28 15:41:07 IST 2023","Sun May 28 15:41:09 IST 2023","1529","","Topic04_Suite","","","","Topic04_TestCase",""
"passed","Sun May 28 15:42:07 IST 2023","Sun May 28 15:42:08 IST 2023","430","","Topic02_TestSuite","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sun May 28 15:42:20 IST 2023","Sun May 28 15:42:33 IST 2023","12719","","Topic15_TestSuite","","","","Topic15_TestCase",""
"broken","Sun May 28 15:41:35 IST 2023","Sun May 28 15:41:35 IST 2023","0","","cypress/e2e/Topoc33_02.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/Topoc33_02.cy.js",""
"passed","Sun May 28 15:41:38 IST 2023","Sun May 28 15:41:39 IST 2023","501","","template spec","","","","passes",""
"passed","Sun May 28 15:42:07 IST 2023","Sun May 28 15:42:07 IST 2023","291","","Topic02_TestSuite","","","","cy.setCookie() - set a browser cookie",""
"passed","Sun May 28 15:42:25 IST 2023","Sun May 28 15:42:25 IST 2023","362","","Topic20_Suite","","","","Topic20_TestCase-POST_API_Method1",""
"failed","Sun May 28 15:42:11 IST 2023","Sun May 28 15:42:13 IST 2023","1961","","Topic01_Suite","","","","Topic01_Testcase",""
"passed","Sun May 28 15:42:25 IST 2023","Sun May 28 15:42:26 IST 2023","416","","Topic20_Suite","","","","Topic20_TestCase-POST_API_Method2",""
"passed","Sun May 28 15:42:37 IST 2023","Sun May 28 15:42:37 IST 2023","2","","Topic08-Suite","","","","Topic08-TestCase_Method1",""
"passed","Sun May 28 15:41:42 IST 2023","Sun May 28 15:41:43 IST 2023","889","","Topic16_TestSuite","","","","Topic16_TestCase",""
